Gene	BaseMean	log2FC	pval	FDR
PON3	185.2096	1.7536	1.58E-11	1.89E-07
LPIN1	1093.2689	-1.7759	3.79E-10	2.26E-06
ANGPTL4	708.1334	1.4698	2.63E-09	1.05E-05
ENSOARG00000009821	17.875	1.8552	1.17E-08	3.48E-05
CYR61	1083.3347	1.6414	2.66E-08	6.35E-05
SERTM1	32.7592	-1.7838	3.69E-08	7.34E-05
POSTN	134.0736	1.6803	5.34E-08	9.10E-05
FGFR1	150.9002	1.6334	6.13E-08	9.15E-05
RETSAT	2836.9367	1.5383	9.85E-08	1.31E-04
FAM189A2	114.1224	1.287	1.69E-07	1.98E-04
RPA1	665.6275	-0.7172	1.83E-07	1.98E-04
GNA14	14.0298	1.6791	2.71E-07	2.70E-04
FOSB	884.1845	1.3401	3.02E-07	2.77E-04
ENSOARG00000000673	25.349	1.6442	3.93E-07	3.35E-04
ACSS2	18052.6036	-1.0196	6.75E-07	4.60E-04
BPIFB1	876.0911	1.4373	8.10E-07	4.60E-04
CLDN8	191.8132	1.4204	7.11E-07	4.60E-04
FADS2	686.0614	-1.4887	7.94E-07	4.60E-04
HSPB8	72.9944	-1.2301	6.84E-07	4.60E-04
PNPLA3	681.0781	-1.2048	5.87E-07	4.60E-04
PTPRU	16.3313	1.5787	7.36E-07	4.60E-04
TYR	71.5188	-1.3348	1.00E-06	5.43E-04
ARL6IP5	132.1098	0.8772	1.12E-06	5.79E-04
ACACA	6134.4792	-0.8756	1.56E-06	7.15E-04
F5	189.0251	1.2008	1.46E-06	7.15E-04
RAD21	1034.8278	-0.6895	1.50E-06	7.15E-04
LRIG3	56.0817	1.3479	1.75E-06	7.75E-04
PDE8A	112.7326	-0.865	2.57E-06	1.06E-03
ENSOARG00000014201	2011.1837	-0.8225	2.54E-06	1.06E-03
C9orf152	202.8163	-1.069	3.39E-06	1.35E-03
ENSOARG00000013560	88.7621	1.3478	3.52E-06	1.36E-03
ACSL1	6122.7314	-0.8726	4.00E-06	1.39E-03
BMP1	288.5709	0.908	4.20E-06	1.39E-03
FCGRT	109.6419	1.1539	4.20E-06	1.39E-03
sep-10	206.7076	-0.7714	4.10E-06	1.39E-03
ENSOARG00000008223	153.378	-0.807	4.13E-06	1.39E-03
PCYT2	777.5871	-0.9428	5.35E-06	1.73E-03
TCTN3	34.5642	1.3986	5.73E-06	1.80E-03
ASS1	470.5632	-1.1488	5.88E-06	1.80E-03
CAMK4	39.6789	-1.3816	6.86E-06	2.05E-03
ARHGAP18	385.875	-0.6982	7.55E-06	2.20E-03
ENSOARG00000020086	9.9299	1.4472	7.80E-06	2.22E-03
CTSF	190.541	0.8272	8.12E-06	2.25E-03
FGD2	93.7153	-1.2102	8.68E-06	2.36E-03
PRUNE2	83.2192	-1.3994	9.62E-06	2.46E-03
RASEF	965.6428	-0.847	9.89E-06	2.46E-03
STAR	72.468	1.1491	9.85E-06	2.46E-03
TMEM168	132.863	1.0799	9.45E-06	2.46E-03
FST	62.1479	-1.4137	1.09E-05	2.60E-03
GCA	47.4011	1.4327	1.09E-05	2.60E-03
ENSOARG00000002759	979.8547	-0.8169	1.13E-05	2.64E-03
CCDC129	150.098	1.0989	1.28E-05	2.86E-03
MEGF10	100.8496	1.3805	1.29E-05	2.86E-03
RUSC1	518.5335	-1.0264	1.25E-05	2.86E-03
CYP7B1	26.7945	1.3841	1.50E-05	3.25E-03
GPNMB	132.2383	1.3142	1.57E-05	3.28E-03
SLC9A4	8.0033	-1.3943	1.59E-05	3.28E-03
WFDC2	162.6382	-0.9613	1.56E-05	3.28E-03
LSS	378.3107	-0.9733	1.69E-05	3.43E-03
ENSOARG00000006401	68.2395	-1.3399	1.76E-05	3.51E-03
RASGEF1A	62.6137	1.1717	2.04E-05	3.86E-03
SLC22A16	2072.1138	0.6366	2.01E-05	3.86E-03
TNFRSF21	3906.9108	0.8824	1.98E-05	3.86E-03
SLC6A20	50.5732	-1.3608	2.18E-05	4.06E-03
ALDOA	3379.4164	-0.5389	2.36E-05	4.22E-03
CYP39A1	36.32	1.1652	2.30E-05	4.22E-03
ENSOARG00000014790	12662.0357	0.8776	2.37E-05	4.22E-03
DUSP1	862.6284	1.2014	2.48E-05	4.35E-03
ACSS3	1547.0526	-0.7079	2.58E-05	4.47E-03
APP	1426.4592	0.9769	2.68E-05	4.57E-03
DAB1	53.5785	-1.1307	2.72E-05	4.58E-03
CYBA	278.3109	0.722	2.95E-05	4.82E-03
FAM107A	183.7396	-0.8969	2.94E-05	4.82E-03
NOTCH3	28.6374	1.3338	3.23E-05	5.15E-03
ENSOARG00000012720	560.1028	-0.5636	3.22E-05	5.15E-03
SPRY1	65.4834	1.0449	3.49E-05	5.48E-03
LGR4	567.8745	1.0854	3.74E-05	5.79E-03
EGR2	229.0143	1.0118	4.02E-05	6.16E-03
ATF4	12381.6462	-0.608	4.23E-05	6.17E-03
C8orf4	190.7617	1.2292	4.22E-05	6.17E-03
SEMA4F	12.4524	1.3416	4.11E-05	6.17E-03
ENSOARG00000019966	275.0441	-0.7615	4.15E-05	6.17E-03
JUN	1942.3351	1.0576	4.48E-05	6.45E-03
GPX8	114.6021	0.9943	4.62E-05	6.56E-03
CDC42EP4	132.9175	-0.6981	5.63E-05	7.91E-03
MPZL1	228.2428	0.7006	6.14E-05	8.43E-03
SLC7A6	130.7969	0.6917	6.11E-05	8.43E-03
MVD	590.6917	-1.1079	6.48E-05	8.69E-03
PTGFRN	25.5813	1.2182	6.47E-05	8.69E-03
HMGCS1	909.87	-1.0589	6.73E-05	8.93E-03
ENSOARG00000001694	356.5119	-0.8385	7.09E-05	9.30E-03
KCTD14	271.127	-0.7828	7.21E-05	9.35E-03
SLC22A5	267.9179	0.8222	7.28E-05	9.35E-03
SLC9A3R1	625.294	-0.4904	7.70E-05	9.78E-03
ENSOARG00000004438	1831.9871	-0.6733	8.42E-05	1.06E-02
CCNL1	348.8069	0.9409	9.10E-05	1.10E-02
EFHD1	1954.1184	-0.741	9.08E-05	1.10E-02
PDE4DIP	278.3239	-0.8048	9.03E-05	1.10E-02
STARD4	237.2062	-0.952	8.99E-05	1.10E-02
AACS	1792.7716	-0.7483	9.28E-05	1.11E-02
G6PD	1521.8771	-0.7367	9.50E-05	1.12E-02
PCK2	658.2056	-0.7252	9.75E-05	1.14E-02
CD320	229.0468	0.9777	0.000103	1.19E-02
NFE2L3	74.29	0.9849	0.000104	1.19E-02
ENSOARG00000005716	8.6673	-1.2585	0.000121	1.37E-02
NFKBIZ	500.9851	1.175	0.000123	1.37E-02
ENSOARG00000003744	38.2008	1.1927	0.000123	1.37E-02
ANKRD33B	14.6254	1.2306	0.000132	1.42E-02
AZGP1	182.2682	-1.105	0.00013	1.42E-02
RASAL2	291.9732	0.7824	0.000132	1.42E-02
ENSOARG00000006465	530.8772	-0.748	0.000129	1.42E-02
APBA1	83.6541	0.9622	0.000141	1.50E-02
FDPS	84.7551	-0.9861	0.000146	1.54E-02
ENSOARG00000002516	59.8393	1.093	0.000148	1.55E-02
ATF3	2118.1668	0.8493	0.000149	1.55E-02
AMOTL2	204.8165	1.1285	0.000154	1.59E-02
ZSWIM4	150.7157	1.0165	0.000164	1.68E-02
FCGR2B	413.4834	0.8738	0.000166	1.68E-02
DSG3	14.073	1.2239	0.00017	1.71E-02
ATP6V0D1	761.1362	-0.5936	0.000172	1.71E-02
LIFR	925.1202	1.0347	0.00018	1.78E-02
EPB41L4B	356.9668	-0.6482	0.000186	1.80E-02
POC5	65.169	0.8147	0.000187	1.80E-02
PPM1K	292.531	-0.6988	0.000184	1.80E-02
C5orf42	18.595	1.2019	0.000197	1.84E-02
CRELD1	144.7966	0.8085	0.000195	1.84E-02
NXPE3	36.7188	-1.0995	0.000195	1.84E-02
SLC31A2	175.1625	0.7976	0.000197	1.84E-02
DDX1	2394.451	-0.5682	0.0002	1.85E-02
MAML2	22.7117	1.1089	0.000203	1.86E-02
SLC5A9	395.0999	0.9566	0.000204	1.86E-02
ABCC10	230.4426	0.9309	0.000215	1.93E-02
KCNJ2	43.3502	1.1531	0.000214	1.93E-02
PAFAH1B3	172.8721	-0.6362	0.000246	2.18E-02
ENSOARG00000016817	1644.3051	-0.3793	0.000247	2.18E-02
ENSOARG00000008097	22.6634	1.166	0.000257	2.25E-02
ERRFI1	397.48	1.043	0.000262	2.27E-02
HAUS5	96.2272	0.8247	0.000262	2.27E-02
RNF41	362.4668	-0.5394	0.000265	2.28E-02
ASAP2	187.0518	-0.5631	0.000275	2.35E-02
ECHDC3	290.992	-0.7616	0.00028	2.38E-02
ABCA3	190.7273	0.7002	0.000305	2.57E-02
SLC40A1	52.1972	1.1213	0.000311	2.60E-02
ENSOARG00000017439	242.3915	0.6898	0.000329	2.73E-02
CHMP4C	35.6019	-1.0232	0.00034	2.79E-02
YWHAH	307.7494	-0.5623	0.000341	2.79E-02
EXOG	39.6638	0.9744	0.000344	2.80E-02
PPP1R10	520.3119	0.7761	0.000347	2.80E-02
PM20D1	89.3934	1.0704	0.000361	2.87E-02
ENSOARG00000011060	197.1126	-0.673	0.000359	2.87E-02
CSF2RB	21339.2576	0.9818	0.000375	2.94E-02
SCARA3	299.607	0.65	0.000374	2.94E-02
KLF6	724.6061	0.9609	0.000395	3.08E-02
KRT24	20.9149	1.1566	0.000406	3.12E-02
MVP	1117.9218	-0.5085	0.000403	3.12E-02
SMAP2	333.8486	-0.6033	0.000407	3.12E-02
BAG1	3025.5713	-0.4864	0.000421	3.18E-02
ENSOARG00000020248	245.3497	-0.6418	0.000421	3.18E-02
FHOD3	153.8925	0.8828	0.00043	3.23E-02
RND1	1746.8302	1.0465	0.00044	3.29E-02
CIT	455.5092	-0.956	0.000451	3.32E-02
ENSOARG00000004224	101.371	1.0458	0.000451	3.32E-02
HS3ST1	15.7542	1.1275	0.000454	3.33E-02
CCNT2	263.8788	0.6893	0.000458	3.33E-02
ENSOARG00000016449	752.1664	-0.4593	0.000463	3.35E-02
KLF11	27.5965	1.094	0.000498	3.58E-02
AGPAT2	47.1691	-0.9965	0.00052	3.59E-02
CDIP1	8.7285	-1.0823	0.000519	3.59E-02
CLIC2	57.6686	-0.9063	0.000509	3.59E-02
FCGBP	1500.5892	1.1321	0.000514	3.59E-02
LSM12	365.9629	-0.646	0.000511	3.59E-02
MBNL3	115.0017	-0.8876	0.000521	3.59E-02
SDSL	658.0451	-0.8249	0.000505	3.59E-02
PPT1	1116.8058	0.7641	0.000525	3.60E-02
MCL1	2830.9557	0.6436	0.000531	3.61E-02
NRSN2	10.4407	-1.1337	0.000532	3.61E-02
ACSS1	1550.3885	-0.6847	0.000545	3.68E-02
ABCA2	433.4834	-0.9455	0.00055	3.69E-02
ENSOARG00000010767	47.4258	-0.8595	0.000558	3.72E-02
TMEM8B	29.1192	0.977	0.000581	3.85E-02
PRLR	1603.8042	0.7154	0.000594	3.90E-02
SCHIP1	20.4811	1.1218	0.000591	3.90E-02
EBPL	348.0731	1.0465	0.000602	3.93E-02
FAM129B	1821.6593	-0.4587	0.000613	3.97E-02
MYO18A	648.7937	-0.5849	0.000615	3.97E-02
IGFBP7	28.854	1.097	0.000654	4.20E-02
SUCLA2	363.4077	-0.5284	0.000674	4.31E-02
GADD45G	163.0742	1.0755	0.00068	4.32E-02
CCNL2	327.6362	0.8133	0.00069	4.34E-02
TTC14	215.8345	0.6668	0.00069	4.34E-02
CTSK	108.0908	1.0083	0.000714	4.37E-02
ELOVL6	120.6791	-0.9609	0.000711	4.37E-02
LTBP1	109.3335	1.0646	0.000706	4.37E-02
MACC1	104.4489	0.8152	0.000717	4.37E-02
SOSTDC1	10.8042	1.0776	0.000709	4.37E-02
ULK1	275.1106	-0.55	0.000708	4.37E-02
GAREM	279.742	-0.5578	0.000732	4.41E-02
ZBED5	49.5679	0.8617	0.000729	4.41E-02
SLC1A3	55.5617	0.8904	0.000743	4.46E-02
PBXIP1	1039.4781	0.6702	0.000781	4.67E-02
KDM1B	423.8099	-0.6234	0.000791	4.68E-02
OSBPL1A	1490.047	-0.5081	0.000788	4.68E-02
PAK4	207.0514	-0.5666	0.000796	4.68E-02
NET1	653.3658	0.5274	0.000808	4.73E-02
CRBN	303.818	-0.5027	0.000816	4.75E-02
CCNG2	83.8098	0.827	0.000831	4.79E-02
SLC11A1	28.6446	1.0842	0.000828	4.79E-02
CLGN	171.7773	1.0465	0.000842	4.83E-02
ITGB6	458.4795	0.7996	0.000846	4.83E-02
NELL2	18.0654	-1.0876	0.000872	4.95E-02
